Frame,X,Y,Speed
0,NaN,NaN,NaN
1,NaN,NaN,NaN
2,NaN,NaN,NaN
3,343.5,529.5,NaN
4,604.5,508.5,6546.086617208789
5,808.5,508.5,5100.0
6,955.5,514.5,3678.0599505717682
7,1108.5,532.5,3851.3796229403306
8,1237.5,541.5,3232.839309337846
9,1351.5,502.5,3012.1628442034803
10,1447.5,478.5,2473.8633753705963
11,NaN,NaN,NaN
12,NaN,NaN,NaN
13,NaN,NaN,NaN
14,1096.5,457.5,NaN
15,967.5,472.5,3246.7291232870048
16,865.5,490.5,2589.4014752448106
17,739.5,529.5,3297.4421905470913
18,607.5,562.5,3401.5621411345696
19,487.5,580.5,3033.5622624235025
20,364.5,556.5,3132.989786130813
21,268.5,544.5,2418.677324489565
22,148.5,535.5,3008.425668019737
23,NaN,NaN,NaN
24,NaN,NaN,NaN
25,NaN,NaN,NaN
26,NaN,NaN,NaN
27,565.5,484.5,NaN
28,796.5,484.5,5775.0
